,user,trial,task,action_type,x,y,sx,sy,tx,ty,distance,width,height,direction,timestamp,is_valid,is_success,start_time,movement_time,dx,mean_dx,std_dx,ID_list,WD_pairs_code,mean_time,std_time,variance_time,ID_square_list
3418,7,7,22,MOUSE_PRESSED,254.635,84.8783333333333,143,105,263,105,120,18,-1,0,1583535190117,1,1,1583535189300,817,-8.36500000000001,-1.24864522417156,10.240333091763,2.93859945533586,28,665.870588235294,153.70037990196,23623.8067820069,8.63536675890019
3419,7,8,22,MOUSE_PRESSED,140.97,85.5133333333333,263,105,143,105,120,18,-1,0,1583535190741,1,1,1583535190117,624,-2.03,-1.24864522417156,10.240333091763,2.93859945533586,28,665.870588235294,153.70037990196,23623.8067820069,8.63536675890019
3420,7,9,22,MOUSE_PRESSED,257.598333333333,86.995,143,105,263,105,120,18,-1,0,1583535191195,1,1,1583535190741,454,-5.4016666666667,-1.24864522417156,10.240333091763,2.93859945533586,28,665.870588235294,153.70037990196,23623.8067820069,8.63536675890019
3421,7,10,22,MOUSE_PRESSED,147.955,87.2066666666667,263,105,143,105,120,18,-1,0,1583535191669,1,1,1583535191195,474,4.95499999999996,-1.24864522417156,10.240333091763,2.93859945533586,28,665.870588235294,153.70037990196,23623.8067820069,8.63536675890019
3422,7,1,26,MOUSE_PRESSED,282.363333333333,91.0166666666666,123,105,283,105,160,10,-1,0,1583535194301,1,1,1583535193172,1129,-0.636666666666656,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3423,7,2,26,MOUSE_PRESSED,122.766666666667,93.5566666666667,283,105,123,105,160,10,-1,0,1583535195396,1,1,1583535194301,1095,-0.233333333333363,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3424,7,4,26,MOUSE_PRESSED,120.861666666667,90.805,283,105,123,105,160,10,-1,0,1583535201733,1,1,1583535201114,619,-2.13833333333336,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3425,7,6,26,MOUSE_PRESSED,127,90.17,283,105,123,105,160,10,-1,0,1583535207717,1,1,1583535206973,744,4,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3426,7,7,26,MOUSE_PRESSED,285.115,83.185,123,105,283,105,160,10,-1,0,1583535208879,1,1,1583535207717,1162,2.1149999999999,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3427,7,8,26,MOUSE_PRESSED,129.328333333333,91.44,283,105,123,105,160,10,-1,0,1583535209668,1,0,1583535208879,789,6.32833333333332,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3428,7,8,26,MOUSE_PRESSED,280.035,90.17,123,105,283,105,160,10,-1,0,1583535211202,1,1,1583535210117,1085,-2.96499999999997,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3429,7,9,26,MOUSE_PRESSED,125.095,93.7683333333333,283,105,123,105,160,10,-1,0,1583535212586,1,1,1583535211202,1384,2.09499999999998,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3430,7,10,26,MOUSE_PRESSED,282.786666666667,87.63,123,105,283,105,160,10,-1,0,1583535213572,1,1,1583535212586,986,-0.213333333333367,-0.308013565891487,3.47568426392257,4.08746284125034,17,901.136094674556,215.338647152641,46370.7329575295,16.7073524786023
3431,7,1,13,MOUSE_PRESSED,240.453333333333,89.3233333333333,166,105,240,105,75,8,-1,0,1583535215397,1,1,1583535214637,760,0.453333333333291,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
3432,7,2,13,MOUSE_PRESSED,240.03,90.17,166,105,240,105,75,8,-1,0,1583535218077,1,1,1583535217451,626,0.030000000000001,0.089100378787861,2.48773016872936,3.37503943134692,9,725.808139534884,156.121089494375,24373.7945849108,11.3908911631466
