mouse,990,718,623,482,575,430,778,567,455,560,513,587,535,720,562,664,720,488,704,672,971,744,742,649,824,997,1096,891,735,690,943,1104,962,1079,758,796
mouse,761,690,449,429,577,627,696,545,553,504,426,512,624,652,539,698,625,480,625,933,643,656,711,657,928,896,703,986,792,718,896,975,894,1016,781,856
mouse,624,759,432,636,488,602,639,512,496,559,545,456,640,741,622,670,541,512,747,691,667,712,750,608,1144,815,753,980,697,673,1262,1231,911,1105,949,871
mouse,536,560,464,495,436,446,666,584,696,505,490,536,577,576,641,746,499,480,831,669,678,616,730,602,920,1320,816,1113,768,662,938,826,894,839,763,912
mouse,672,705,561,494,508,481,598,535,527,552,552,533,613,608,585,623,536,496,849,675,578,592,720,630,1022,841,712,765,672,786,920,1025,1073,855,824,837
mouse,736,615,678,512,418,433,817,618,544,513,480,531,667,672,583,561,536,431,951,783,686,576,657,624,1129,1033,718,1058,702,801,1137,885,925,889,743,827
mouse,568,626,474,512,477,486,665,514,553,474,448,511,709,589,715,662,575,503,888,826,726,608,645,574,889,703,754,1416,722,754,993,874,1051,897,761,784
mouse,695,457,440,473,417,474,720,616,512,535,486,505,699,609,734,538,519,473,609,799,722,605,675,820,666,1001,768,848,758,701,793,1040,889,814,767,816
mouse,714,567,591,476,528,464,599,583,520,577,600,552,702,648,656,600,538,489,663,720,646,723,677,707,1432,823,800,895,746,657,823,854,847,818,857,767
mouse,702,592,481,596,399,470,530,608,597,504,568,512,675,736,720,594,527,478,745,664,652,703,659,571,983,976,847,873,624,822,904,802,825,778,814,697
mouse,738,553,481,470,473,434,685,753,655,519,488,423,561,515,751,654,513,610,743,592,797,514,490,662,936,769,873,768,632,745,822,780,918,728,868,751
mouse,582,615,497,616,416,463,563,623,602,520,526,481,550,614,639,639,615,382,838,536,549,724,601,640,1070,672,753,790,586,647,777,773,856,710,742,721
mouse,626,641,548,504,329,522,543,736,527,385,457,360,658,506,591,530,544,315,730,504,595,569,608,640,816,712,642,784,609,664,889,780,910,763,785,609
mouse,503,488,491,599,286,303,511,360,410,329,391,511,696,814,394,477,448,278,672,579,576,461,646,646,1001,855,655,666,720,552,886,566,738,805,648,584
mouse,482,598,432,409,297,264,481,583,662,462,418,366,585,474,546,458,480,312,706,615,615,668,511,586,902,746,688,628,533,592,863,1030,719,675,669,608
mouse,462,514,401,432,264,258,638,497,602,482,383,480,553,473,514,624,680,327,745,553,750,605,536,640,618,695,657,624,562,654,855,690,738,726,696,689
mouse,689,463,390,400,280,247,482,397,593,393,304,384,750,591,428,496,507,266,647,585,640,547,539,649,797,713,654,639,528,651,881,991,879,657,712,639
mouse,553,490,639,480,238,237,791,522,528,397,417,479,649,696,410,576,445,256,744,527,623,477,493,535,967,728,625,617,672,717,806,737,695,600,625,638
mouse,614,488,442,400,234,243,520,462,455,411,417,417,591,543,480,567,441,287,624,494,1145,465,538,665,677,632,696,559,616,786,793,752,705,625,608,697
mouse,474,455,568,419,246,239,462,474,721,391,366,462,642,632,489,529,613,279,576,520,672,495,552,536,762,685,688,567,687,534,886,1016,782,802,600,1743
mouse,440,457,416,440,232,233,569,456,551,430,438,434,711,697,480,816,601,367,814,609,727,480,481,722,598,708,694,519,753,881,825,1377,704,1093,943,1624
mouse,496,455,368,424,387,247,1376,593,520,482,380,414,706,552,373,936,599,467,886,1029,621,506,424,582,723,580,714,529,696,840,826,992,626,1303,687,1477
mouse,640,481,358,399,319,263,729,454,670,798,399,418,517,943,482,696,847,639,594,755,984,761,434,595,704,1146,1374,598,757,719,632,962,614,960,906,1187
mouse,778,471,395,456,328,654,839,498,549,578,456,359,771,647,911,736,697,431,883,928,593,744,463,616,655,1062,713,579,755,921,903,760,897,1030,744,1120
mouse,582,469,414,456,415,417,1082,486,402,511,814,398,606,706,600,632,414,425,1039,989,689,736,382,592,648,909,1073,800,831,677,800,1040,1120,805,648,1144
mouse,787,427,466,418,386,377,1007,598,799,551,657,385,530,749,719,688,473,408,1032,1062,887,598,463,665,633,1384,838,848,695,722,1014,871,1114,926,711,791
mouse,543,575,368,688,353,359,943,481,432,506,513,391,504,659,720,706,514,504,1129,794,705,898,534,662,671,997,1018,904,633,735,735,993,1344,840,688,737
mouse,561,417,450,462,490,366,729,530,384,448,880,328,833,888,569,717,648,663,1093,910,577,967,530,713,616,1401,872,1114,744,697,872,696,1618,832,809,745
